name,NationalTeam,bio,photo done?,"special player? (eg. key player, promising talent, etc)",position,number,caps,goals for country,club,league,date of birth,,rating_match1,rating_match2,rating_match3
Luka Modrić,Croatia,"The national treasure. Johan Cruyff called him a midfielder of “enormous quality, but who needs the freedom to express himself” – which he rarely gets playing for Croatia. Modrić played 127 games for Spurs before moving to Real in 2012. “Luka is a homely, family guy,” said a recent Marca profile. “You will never see him in a nightclub. He’s not interested. He likes to go to the zoo, and never makes controversial remarks.” His contract has a reported £387m buyout clause.",Yes,Star man,Midfielder,,89,10,Real Madrid,La Liga (Spain),09/09/1985,,,,
Ivan Rakitić,Croatia,"The squad’s most media-friendly operator, and biggest star alongside Modrić. Swiss-born and multilingual (fluent in five languages), he joined Barcelona in June 2014, and was Croatian Football of the Year last year. He owns a lower-league football club in his native Moehlin, and married the waitress who served him coffee as he negotiated his move to Sevilla in 2011. “I started talking to Raquel but she never wanted to go out with me. ‘I can’t, I have to work.’ She was wary of footballers. But I kept trying and then a friend tipped me off that she was in the bar but not on duty. I jumped in the car and drove straight there: ‘You’re not working now’.”",Yes,,Midfielder,,75,10,Barcelona,La Liga (Spain),10/03/1988,,,,
Marcelo Brozović,Croatia,"The son of a butcher, he was encouraged by his dad to drop of school and concentrate on football while he was rising through the youth ranks of a Croatian second division team. Dubbed by fans “Epic Brozo”. Enjoys table tennis, billiards, “all movies apart from science fiction”, and stars on YouTube providing the vocals for rap “$agud - Car” as DJ Marsel – 4,235 hits. Was recently linked with Chelsea, Arsenal and Barcelona.",Yes,,Midfielder,,17,4,Dinamo Zagreb,Prva HNL (Croatia),16/11/1992,,,,
Mateo Kovačić,Croatia,"Was known as Il Professore in Italy – some nickname for a 20 year old. “He has talents that could make him even better than me,” Zvonimir Boban once said. He made his first appearance for a Croatia side in the under-14s in 2008, and his senior debut in 2013, and played in the last World Cup. Real bought him from Internazionale for €29m last year, but he has struggled to define his role under Zinedine Zidane, and was recently linked with Liverpool. Shares a birthday with Graeme Souness, Dani Alves, Jim Magilton, Sigmund Freud and Pope Innocent X.",Yes,,Midfielder,,26,1,Real Madrid,La Liga (Spain),06/05/1994,,,,
Milan Badelj,Croatia,"The nearest thing Croatia has to a midfield holder. A solid ball-winner, but only considered a back-up safety net behind Modrić and Rakitić. Joined Fiorentina for €5m in August 2014 but is ripe for a move again, with Tottenham linked. “Milan wants to play in the Champions League,” said his agent in May. “I think Fiorentina should sell him. €10m seems like a more than reasonable price"".",Yes,,Midfielder,,19,1,Fiorentina,Serie A (Italy),25/02/1987,,,,
Ante Ćorić,Croatia,"One of country’s highest-rated young talents - the new Zindedine Zidane/David Silva/Robert Prosinečki, depending on who you listen to. Still raw and inconsistent, but not shy. “I recently spoke to Manchester City and Bayern, and to a scout from Real Madrid who likes me. And other clubs want me. But I think I will stay.” As a boy he was given a ride in former Croatia midfielder Silvio Marić’s Lamborghini. “He’s from my neighbourhood and one day he drove me to training. I felt like I was riding in a spaceship. Never did I dream that one day I too could own such a car.”",Yes,,Midfielder,,1,0,Dinamo Zagreb,Prva HNL (Croatia),14/04/1997,,,,
Marko Rog,Croatia,"A well-rated young prospect, dynamic and versatile, who could have a bright future. He was discovered as a lower-league player by top-flight RNK Split and sold to Dinamo for €5m in 2015. Was linked with Liverpool last year, and scored the winner in the Croatian Cup in May against Slaven Belupo. He made an international debut in November 2014 against Argentina.",Yes,,Midfielder,,2,0,Dinamo Zagreb,Prva HNL (Croatia),19/07/1995,,,,
Marko Pjaca,Croatia,"The son of two national champions – his dad a wrestler, mother a judoka. Worked his way through hip-hop, handball, basketball and table tennis as a youngster before settling into a life in football. Strong, direct and lethal in one-on-ones, he should be key to Croatia’s attacking threat. Says his inspiration is Ronaldinho. “He’s the one I admire most. A game-winner, and so entertaining too.” A reported €17m target for Benfica, Inter and Juventus.",Yes,,Forward,,7,0,Dinamo Zagreb,Prva HNL (Croatia),06/05/1995,,,,
Ivan Perišić,Croatia,"Not Croatia’s highest-profile talent, but among their most consistent attacking performers. Perišić has been linked with a summer reunion with his former Dortmund manager Jürgen Klopp at Liverpool, despite their 2012 falling out when Perišić accused Klopp of having favourites, and Klopp told Perišić to “keep your mouth shut … If he shuts up it is better for him. Complaining in public is childish.” Klopp sold him to Wolfsburg two months later.",Yes,,Midfielder,,46,2,Inter,Serie A (Italy),02/02/1989,,,,
Mario Mandžukić,Croatia,"Teammate Milan Badelj once called Mandžukić “an animal, an incredibly powerful animal who never gives up”. But despite his physical, dominant qualities, he has struggled to be effective for Croatia, scoring only one of their 20 goals in the qualifiers. Joined Juventus for €15m from Atlético Madrid last summer after Atletico coach Diego Simeone called him “annoying … a great player and decent lad, but he annoys me easily, that’s the reality.”",Yes,Maverick,Forward,,65,21,Juventus,Serie A (Italy),21/05/1986,,,,
Nikola Kalinić,Croatia,"From a high-end but unspectacular old-school No9, Kalinić has managed to morph into a versatile, mobile forward, skilled at build-up play, and consistent enough to push Mandžukić close for starting place. He signed for Blackburn for £6m in 2009, but fell out of favour when club owners Venky’s replaced Sam Allardyce with Steve Kean. Says he turned down bigger money offers in favour of joining Fiorientina last year. “I could have had more money but I had no hesitation. What I lost in salary, I gained in quality of life. I love this city.”",Yes,,Forward,,28,8,Fiorentina,Serie A (Italy),05/01/1988,,,,
Andrej Kramarić,Croatia,"Nigel Pearson signed him for Leicester in January 2015 for a club record £9.7m, with former Villa man Bosko Balaban serving as Kramarić’s mediator in the deal. But the striker struggled to adapt and was shipped out to Hoffenheim on loan after just five outings last season, and a solitary goal scored in the Capital One Cup against Bury. “I don’t know if his City career is over,” said Claudio Ranieri in January. “I wish him all the best though. He is a very nice boy.”",Yes,,Forward,,10,4,Leicester City,Premier League (England),19/06/1991,,,,
Duje Čop,Croatia,"Made it into the squad for France because of injuries to other, better players. A versatile stop-gap who can cover various attacking positions, he spent the season on loan at Málaga, and ended it in good form. Made his Croatia debut in September 2014, but only appeared once in Euro 2016 qualifying.",Yes,,Forward,,4,0,Dinamo Zagreb,Prva HNL (Croatia),01/02/1990,,,,
