name,NationalTeam,bio,photo done?,"special player? (eg. key player, promising talent, etc)",position,number,caps,goals for country,club,league,date of birth,,rating_match1,rating_match2,rating_match3
Ledian Memushaj,Albania,"The midfielder can claim to have played at every level of Italian football since 2003 – except Serie A, although he was under contract with Chievo Verona in 2010-11. He will try to achieve his goal as captain of Pescara, and has helped them take a 2-0 lead from the away leg of their Serie B promotion play-off semi-final against Novara.",yes,,Midfielder,,13,0,Pescara,Serie B (Italy),7/12/86,,,,
Migjen Basha,Albania,"The experienced midfielder is the player who began the trend for switching allegiance from Switzerland to Albania. He played at every youth level for the Swiss before deciding to join Albania in 2010. The Swiss FA rejected his request of transfer and a legal battle followed, concluding in March 2013 when Fifa ruled in his favour and allowed him to switch sides. Injuries have slowed his international career but expect him to be a starter for Albania during the summer if in good shape.",yes,,Midfielder,,18,3,Como,Serie B (Italy),5/1/87,,,,
Burim Kukeli,Albania,"Severe injuries have marred the international career of this defensive midfielder, in whom Gianni De Biasi has put so much trust since his debut in 2012. He recovered in time for the start of the Euro 2016 qualifiers, where he played a major role – starting six matches and coming on as a substitute in the decisive 3-0 away win against Armenia.",yes,,Midfielder,,15,0,FC Zürich,Super League (Switzerland),16/01/1984,,,,
Ergys Kaçe,Albania,"Highly regarded as one of the best midfielders in the Greek league, Kaçe was undecided about which national team to represent until Gianni De Biasi called him up for the World Cup qualifier against Norway in June 2013, where he played as a substitute in a 1-1 draw. He was a starter in the following matches but lost his place in the lineup during the Euro 2016 qualifiers as De Biasi opted to field defensively minded midfielders.",yes,,Midfielder,,15,2,Paok Thessaloniki,Superleague (Greece),8/7/93,,,,
Andi Lila,Albania,"Started his career as a right-back for club and country before moving to midfield, where he plays in the centre or as a right-winger. With 58 matches to his name, he is one of the oldest serving members of the national team and one of those whom Gianni De Biasi trusts most in matches where defending is the priority.",yes,,Midfielder,,59,0,Giannina,Superleague (Greece),12/2/86,,,,
Ermir Lenjani,Albania,"Many questioned Gianni De Biasi's insistence in playing the little-known St Gallen defender on the wing in friendly games before the qualifiers and sticking to his choice when the competitive matches started. Lenjani proved why with excellent performances against Portugal and Denmark, scoring in the 1-1 draw against the latter. These were the matches in which Albania laid the groundwork for their successful campaign.",yes,,Midfielder,,18,3,Nantes,Ligue 1 (France),5/8/89,,,,
Odise Roshi,Albania,"His trademark bursts down the right wing make ""Rocket"" Roshi one of the best offensive weapons of the Albania side. When the tactics are focused on containing the opponents and counterattacking, he is the go-to guy to let the team breathe and make things happen in attack.",yes,Maverick,Midfielder,,31,1,Rijeka,Prva HNL (Croatia),22/05/1991,,,,
Shkëlzen Gashi,Albania,"Born in Zurich and previously playing for Switzerland’s youth teams, Gashi opted for Albania in 2013 before rising to prominence with two golden boot awards in the Swiss championship. He had a hard time adjusting to the national team and was dropped in November 2014 by Gianni De Biasi, who claimed he was ""inadequate"" for the system the team played. Luckily the coach changed his mind, as Gashi proved decisive with goals and assists in both of the Euro 2016 qualifying wins against Armenia.",yes,,Forward,,13,1,Colorado Rapids,MLS (United States),15/07/1988,,,,
Sokol Çikalleshi,Albania,"Çikalleshi was known at one stage for having hit the woodwork more times – four – than he had scored goals for the national team. But his importance to the side overrides that and Çikalleshi, a hard worker who likes to run in behind and occupy defences, looks sure to be  Albania’s starting striker at Euro 2016. Not bad for a player who travelled to South Korea in 2012 in order to play six months for the K-League club Incheon United FC.",yes,Main goalscorer,Forward,,18,2,İstanbul Başakşehir,Süper Lig (Turkey),27/07/1990,,,,
Bekim Balaj,Albania,"His first goal for Albania will never be forgotten by supporters: Balaj volleyed the winner in the opening qualifier in Portugal, stunning the Ronaldo-less hosts in what the local press labeled as the ""darkest day in our football history"". Notably, he also took part in the famed ""catch the flag"" brawl that erupted in Belgrade, where a local hooligan hit him on the head with a stool during the pitch invasion.",yes,,Forward,,14,1,Rijeka,Prva HNL (Croatia),11/1/91,,,,
Armando Sadiku,Albania,"The striker was one of the few new names Gianni De Biasi brought into the side since taking charge. Injuries and a lack of regular football with his club kept him out of the team for more than a year but he returned and sealed his place in the squad with the third goal against Armenia. Moved on loan to Vaduz, the Liechenstein club who play in Switzerland's top flight, in January; his goals helped Vaduz rise from the bottom of the table, with their place taken by his parent club, FC Zürich.",yes,,Forward,,19,4,FC Zürich,Super League (Switzerland),27/05/1991,,,,
