name,NationalTeam,bio,photo done?,"special player? (eg. key player, promising talent, etc)",position,number,caps,goals for country,club,league,date of birth,,rating_match1,rating_match2,rating_match3
John O'Shea,Ireland,"Known for his versatility – he played in every position during his time at Manchester United, including in goal – the Sunderland man has offered composure in central defence for Martin O'Neill. Won everything at United and is richly experienced. Marked his 100th cap with the 90thminute equaliser against Germany in Gelsenkirchen during qualification.",yes,,Defender,,111,3,Sunderland,Premier League (England),30/04/1981,,,,
Jon Walters,Ireland,"One of the heroes of the qualification with five goals, including both in the 2-0 play-off, second-leg home win over Bosnia-Herzegovina, which was decisive. Direct, physical and relentless, his style ruffles defenders' feathers.",yes,Hard man,Forward,,39,10,Stoke City,Premier League (England),20/09/1983,,,,
Richard Keogh,Ireland,"Much-travelled centre-half, he owes his senior international career to the durability, consistency and leadership he has shown as captain of Derby County. Martin O'Neill has placed his faith in him and started him alongside Ciaran Clark in both legs of the qualification play-off victory over Bosnia-Herzegovina.",yes,,Defender,,11,1,Derby County,Championship (England),11/08/1986,,,,
Robbie Brady,Ireland,"Nominally a winger, who can also play as a No10, he has been used to good effect at left-back by Martin O'Neill. Admitted that he lacked focus when he was a trainee at Manchester United, Brady has gone on to show his quality at Hull City and now Norwich City.",yes,,Defender,,24,4,Norwich City,Premier League (England),14/01/1992,,,,
Robbie Keane,Ireland,"The captain, record caps holder and record goalscorer, he might no longer be an automatic starter but his value to the squad remains high. Scored five times during qualification, albeit all of them against Gibraltar. A potential game-changer from the bench.",yes,Captain,Forward,,143,67,Los Angeles Galaxy,MLS (United States),08/07/1980,,,,
Seamus Coleman,Ireland,"One of the first names on Martin O'Neill's team-sheet, the Everton right-back, who was originally a Gaelic footballer, combines defensive tightness with the capacity to get forward and create. Named in the PFA's Premier League Team of the Year in 2013-14.",yes,Defensive mainstay,Defender,,34,0,Everton,Premier League (England),11/10/1988,,,,
Shane Long,Ireland,"His winning goal in the 1-0 home win over Germany during qualification will live long in the memory and was, in many respects, the touchstone of the Martin O'Neill era. The one-time hurler for Tipperary brings aerial power and the pace to stretch defences.",yes,Main goalscorer,Forward,,62,16,Southampton,Premier League (England),22/01/1987,,,,
Shay Given,Ireland,"First capped in 1996, the veteran announced his retirement after Euro 2012 only to make a surprise return in September 2014. He was in possession of the No1 jersey until an injury against Germany in last October's home qualifier. Has endured a frustrating season at Stoke City.",yes,,Goalkeeper,,133,0,Stoke City,Premier League (England),20/04/1976,,,,
Stephen Quinn,Ireland,"It was a measure of the faith that Martin O'Neill has in him that the Reading midfielder started in the opening two away qualifiers against Georgia and Germany. Industrious and aggressive, with a cultured left foot.",yes,,Midfielder,,14,0,Reading,Championship (England),01/04/1986,,,,
Stephen Ward,Ireland,"A fixture at left-back during the Euro 2012 campaign, who started at the finals, he dropped out of contention before being recalled by Martin O'Neill. Can play in more advanced positions. Was a striker at Bohemians early on in his career.",yes,,Defender,,32,2,Burnley,Championship (England),20/08/1985,,,,
Wes Hoolahan,Ireland,"The Irish Messi, or Wessi, is the team's string-puller, who is normally given a roving role. A late bloomer, the Norwich City midfielder did not play 90 minutes for Ireland until he was 31. Martin O'Neill believes that he has plenty of international football ahead of him.",yes,,Midfielder,,30,2,Norwich City,Premier League (England),20/05/1982,,,,
Keiren Westwood,Ireland,"Manchester-born, he started his career at City but never played for them. Has been with Sheffield Wednesday since 2014 after three years at Sunderland. Became Ireland's No1 after the retirement of Shay Given but then lost his place first to David Forde, who has since been replaced by Darren Randolph. ",no,,Goalkeeper,,18,0,Sheffield Wednesday,Championship (England),23/10/1984,,,,
Shane Duffy,Ireland,"The centre-half played for Northern Ireland at youth level and was an unused substitute in their senior team as a 17-year-old before he switched his allegiance. Had life-saving surgery on a liver problem in 2010, after a freak practice match injury. Has developed at Blackburn Rovers, after struggling for opportunity at Everton.",no,,Defender,,2,0,Blackburn Rovers,Championship (England),01/01/1992,,,,
